GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
68,48,api.whatsapp.com,com,103173,353397,api.whatsapp.com,com,68,48,103024,352458
69,49,vk.com,com,102042,364908,vk.com,com,70,50,102055,364960
70,50,weebly.com,com,102032,258839,weebly.com,com,69,49,102285,259534
71,51,issuu.com,com,100972,253175,issuu.com,com,71,51,101253,253859
72,52,wixsite.com,com,100358,250541,wixsite.com,com,72,52,100647,251233
73,9,httpd.apache.org,org,99771,201712,httpd.apache.org,org,73,9,99723,201106
74,53,paypal.com,com,98752,276592,paypal.com,com,74,53,98942,277072
75,2,php.net,net,98669,208054,php.net,net,75,2,98672,207999
76,54,l.facebook.com,com,97675,269135,l.facebook.com,com,77,55,97797,269507
77,55,cloudflare.com,com,97169,341885,cloudflare.com,com,80,58,96814,340326
78,56,accounts.google.com,com,96854,225026,accounts.google.com,com,76,54,98219,232335
79,57,m.facebook.com,com,96789,276897,m.facebook.com,com,79,57,96915,277210
80,58,weibo.com,com,96518,426804,weibo.com,com,81,59,96435,426728
81,59,godaddy.com,com,96143,226059,godaddy.com,com,78,56,97720,231072
82,60,tinyurl.com,com,95740,229300,tinyurl.com,com,82,60,95985,229918
83,61,code.google.com,com,95606,251802,code.google.com,com,83,61,95701,252218
84,62,oracle.com,com,94453,178699,oracle.com,com,85,62,93605,175365
85,3,cdc.gov,gov,94411,241987,cdc.gov,gov,84,3,94616,242246
86,63,msn.com,com,93359,216341,msn.com,com,88,65,93189,216254
87,64,bbc.com,com,93044,230032,bbc.com,com,87,64,93205,230437
88,65,policies.google.com,com,92972,296120,policies.google.com,com,89,66,92920,296047
89,66,reuters.com,com,92937,220908,reuters.com,com,86,63,93406,222839
90,67,washingtonpost.com,com,92703,234165,washingtonpost.com,com,90,67,92844,234634
91,68,spotify.com,com,92492,254874,spotify.com,com,91,68,92558,255098
92,69,youtube-nocookie.com,com,91351,237965,youtube-nocookie.com,com,92,69,91416,238350
93,10,gnu.org,org,91184,189725,gnu.org,org,95,10,90737,188680
94,70,wsj.com,com,91060,217398,wsj.com,com,93,70,91334,217857
95,71,imdb.com,com,91022,238143,imdb.com,com,94,71,91188,238950
96,72,bing.com,com,90056,210137,bing.com,com,96,72,90274,210279
97,73,bloomberg.com,com,89369,208849,bloomberg.com,com,97,73,89687,209670
98,74,opera.com,com,89331,227494,opera.com,com,98,74,89301,227605
99,1,harvard.edu,edu,88527,204360,harvard.edu,edu,99,1,88761,204640
100,75,wp.com,com,88507,283526,wp.com,com,100,75,88563,283681
